Locator,Invoice Date,Number of Tickets,Round Trip Indicator,Travel Sector,Trip Length,Booking Date,Days Advance Booking,Mileage,Cost Per Mile (USD),Total Ticket Amount (USD)
JOPYZG,5/13/2021,1,RS,Intra Country,2,5/13/2021,102,"2,625",$0.10 ,262.43
VNEQHI,5/13/2021,1,OS,Intra Country,1,5/13/2021,8,"1,089",$0.24 ,263.04
VNEQHI,5/13/2021,1,OS,Intra Country,1,5/13/2021,9,"1,089",$0.09 ,100.87
DJLCEW,5/13/2021,1,RS,Intra Country,3,5/13/2021,8,"3,009",$0.26 ,791.25
CMKSSV,5/13/2021,1,RS,Intra Country,3,5/13/2021,28,"4,126",$0.44 ,1809
DXPFAX,5/13/2021,1,OS,Intra Country,1,5/13/2021,39,236,$0.21 ,48.98
WSXXGM,5/13/2021,1,OS,Intra Country,1,5/13/2021,40,236,$0.28 ,66.77
WVIMLI,5/13/2021,1,RS,Intra Country,2,5/13/2021,8,"1,857",$0.23 ,420.61
WASVAR,5/13/2021,1,RS,Intra Country,3,5/13/2021,5,"2,079",$0.20 ,413.23
EXLNGR,5/13/2021,1,RS,Intra Country,2,5/13/2021,10,556,$0.72 ,400.92
RMGLIG,5/13/2021,1,RS,Intra Country,3,5/13/2021,7,"2,373",$0.09 ,215.55
WHOWHG,5/13/2021,1,RS,Intra Country,2,5/13/2021,23,"3,339",$0.08 ,264.4
HMQFHU,5/13/2021,0,OS,Inter Continental,-2,5/13/2021,-2,"-5,925",$1.08 ,6396.8
LKGUWE,5/14/2021,1,RS,Intra Country,3,3/10/2021,72,"1,898",$0.02 ,33.2
LOPLRG,5/14/2021,0,OS,Intra Country,1,4/28/2021,16,259,$0.06 ,14.27
JXPCVL,5/14/2021,0,OM,Intra Country,3,5/7/2021,7,"2,463",$0.08 ,200.82
XPFQLN,5/14/2021,1,RS,Intra Country,2,5/14/2021,22,"1,107",$0.24 ,267.78
QUDMPM,5/14/2021,1,RS,Intra Country,3,5/13/2021,8,"1,487",$0.36 ,539.25
VYGQKV,5/14/2021,1,RS,Intra Country,2,5/13/2021,4,"1,178",$0.23 ,266.08
SMAECJ,5/14/2021,1,RS,Intra Country,2,5/14/2021,4,"2,116",$0.29 ,621.47
SMAECJ,5/14/2021,1,RS,Intra Country,2,5/14/2021,4,"2,116",$0.15 ,307.51
TGMYYJ,5/14/2021,1,OS,Intra Country,1,5/14/2021,7,"1,123",$0.39 ,443.4
KHTYJR,5/14/2021,1,OS,Intra Country,1,5/14/2021,2,"1,123",$0.21 ,240.46
HULGSM,5/14/2021,1,RS,Intra Country,3,5/13/2021,21,"1,723",$0.29 ,496.86
QWMNXF,5/14/2021,1,RS,Intra Country,3,5/14/2021,28,518,$0.66 ,341.43
GWMRWB,5/14/2021,1,RS,Intra Country,2,5/14/2021,23,"1,683",$0.39 ,649.02
WZXZPI,5/14/2021,1,RS,Intra Country,2,5/10/2021,25,739,$1.96 ,1446.83
MZITRF,5/16/2021,1,OS,Intra Country,1,4/12/2021,34,"1,257",$0.54 ,679.44
GRWCWN,5/17/2021,0,RS,Intra Country,3,3/3/2021,78,"2,523", $-   ,0
GRWCWN,5/17/2021,1,RS,Intra Country,3,3/3/2021,78,"2,523", $-   ,0
DLQZIF,5/17/2021,0,RS,Intra Country,2,5/5/2021,12,392,$0.23 ,89.01
LHRPUX,5/17/2021,0,RS,Intra Country,4,5/6/2021,14,"2,455",$0.08 ,189.38
MCGERU,5/17/2021,1,RS,Intra Country,3,5/17/2021,24,"4,490",$0.11 ,473.69
MNXKKC,5/17/2021,1,OS,Intra Country,1,5/17/2021,2,"1,167",$0.40 ,466.4
MVFEPO,5/17/2021,1,RS,Intra Country,3,5/17/2021,25,"1,063",$0.49 ,524.78
GQWZVV,5/17/2021,1,RS,Intra Country,3,5/17/2021,24,"3,656",$0.74 ,2715.06
AJXCCM,5/17/2021,1,RS,Intra Country,3,5/17/2021,4,462,$0.41 ,188.03
ZRXGXI,5/17/2021,1,RS,Intra Country,4,5/6/2021,14,993,$0.48 ,472.45
EVNFSS,5/17/2021,1,RO,Intra Country,3,5/11/2021,9,"2,013",$0.15 ,307.32
MGOQEY,5/17/2021,1,RS,Intra Country,3,5/14/2021,6,"1,020",$0.58 ,596.62
